fullname,email,Birthday,reg_date,password
Nguyen Van Minh,minh@gmail.com,1/15/2000,2/25/2026,123456
Tran Thi Lan,lan@gmail.com,3/20/2001,2/25/2026,123456
Le Hoang Nam,nam@gmail.com,5/10/2002,2/25/2026,123456
Pham Quoc Bao,bao@gmail.com,7/18/2000,2/25/2026,123456
Hoang Thi Hoa,hoa@gmail.com,9/25/2001,2/25/2026,123456
Vo Thanh Tung,tung@gmail.com,11/30/2002,2/25/2026,123456
Dang Thi Mai,mai@gmail.com,12/12/2000,2/25/2026,123456
Bui Anh Tuan,tuan@gmail.com,4/5/2001,2/25/2026,123456
Do Thi Ngoc,ngoc@gmail.com,6/22/2002,2/25/2026,123456
Nguyen Duc Huy,huy@gmail.com,8/8/2000,2/25/2026,123456
